gene,module_id,module_qc_label,stability_score,classification
ABCA4,0,LARGE_MODULE_0,0.8967741935483872,core
ABCC6,3,MODULE_3,0.6257142857142857,peripheral
ABHD12,1,LARGE_MODULE_1,0.9527272727272728,core
ACBD5,1,LARGE_MODULE_1,0.9527272727272728,core
ACO2,14,MODULE_14,0.8333333333333334,core
ADAM9,14,MODULE_14,0.8333333333333334,core
ADAMTS18,0,LARGE_MODULE_0,0.8967741935483872,core
ADGRV1,16,MODULE_16,0.8577777777777778,core
AFG3L2,1,LARGE_MODULE_1,0.9527272727272728,core
AGXT,3,MODULE_3,0.06285714285714286,unstable
AHI1,11,MODULE_11,0.998,core
AIPL1,12,MODULE_12,0.8666666666666669,core
AIRE,3,MODULE_3,0.7657142857142857,core
ALDH3A2,2,MODULE_2,0.10117647058823531,unstable
ALMS1,9,MODULE_9,1.0,core
ALPK1,0,LARGE_MODULE_0,0.8967741935483872,core
AMACR,7,MODULE_7,0.6900000000000001,peripheral
AMPD2,1,LARGE_MODULE_1,0.9527272727272728,core
ANKRD17,3,MODULE_3,0.0,unstable
ANTXR1,4,MODULE_4,0.41759999999999997,peripheral
AP3B1,5,MODULE_5,0.9488,core
AP3B2,7,MODULE_7,0.33,unstable
AP3D1,5,MODULE_5,0.9488,core
AP5Z1,1,LARGE_MODULE_1,0.9527272727272728,core
ARL13B,11,MODULE_11,0.998,core
ARL2BP,7,MODULE_7,0.205,unstable
ARL3,11,MODULE_11,0.998,core
ARL6,9,MODULE_9,1.0,core
ARMC9,11,MODULE_11,0.998,core
ARSG,16,MODULE_16,0.6711111111111111,peripheral
ATAD3A,8,MODULE_8,0.6139130434782608,peripheral
ATF6,15,MODULE_15,0.924,core
ATG7,12,MODULE_12,0.4106666666666668,peripheral
ATOH7,8,MODULE_8,0.6139130434782608,peripheral
ATP6V1A,2,MODULE_2,0.8458823529411765,core
ATXN1,1,LARGE_MODULE_1,0.9527272727272728,core
ATXN7,1,LARGE_MODULE_1,0.9527272727272728,core
B3GALNT2,8,MODULE_8,0.6139130434782608,peripheral
BBIP1,9,MODULE_9,1.0,core
BBS1,9,MODULE_9,1.0,core
BBS10,9,MODULE_9,1.0,core
BBS12,9,MODULE_9,1.0,core
BBS2,9,MODULE_9,1.0,core
BBS4,9,MODULE_9,1.0,core
BBS5,9,MODULE_9,1.0,core
BBS7,9,MODULE_9,1.0,core
BBS9,9,MODULE_9,1.0,core
BEST1,0,LARGE_MODULE_0,0.8967741935483872,core
BLOC1S3,5,MODULE_5,0.9488,core
BLOC1S5,5,MODULE_5,0.9488,core
BLOC1S6,5,MODULE_5,0.9488,core
BOLA3,13,MODULE_13,0.9171428571428573,core
BRAF,3,MODULE_3,0.7657142857142857,core
BRAT1,1,LARGE_MODULE_1,0.9527272727272728,core
BTD,7,MODULE_7,0.6900000000000001,peripheral
C19orf12,1,LARGE_MODULE_1,0.9527272727272728,core
C1QTNF5,0,LARGE_MODULE_0,0.8967741935483872,core
CABP4,6,MODULE_6,0.9583333333333334,core
CACNA1F,6,MODULE_6,0.9583333333333334,core
CACNA2D4,6,MODULE_6,0.9583333333333334,core
CAPN5,8,MODULE_8,0.25565217391304346,unstable
CC2D2A,11,MODULE_11,0.998,core
CCDC88A,4,MODULE_4,0.08960000000000001,unstable
CDC42,4,MODULE_4,0.40800000000000003,peripheral
CDH23,3,MODULE_3,0.38571428571428573,unstable
CDH3,4,MODULE_4,0.33919999999999995,unstable
CDHR1,14,MODULE_14,0.8333333333333334,core
CEP104,11,MODULE_11,0.998,core
CEP164,3,MODULE_3,0.7657142857142857,core
CEP290,11,MODULE_11,0.998,core
CEP41,11,MODULE_11,0.998,core
CEP78,16,MODULE_16,0.8577777777777778,core
CEP83,3,MODULE_3,0.7657142857142857,core
CERKL,6,MODULE_6,0.9583333333333334,core
CFAP410,2,MODULE_2,0.8458823529411765,core
CFAP418,9,MODULE_9,1.0,core
CFH,0,LARGE_MODULE_0,0.04387096774193548,unstable
CHD7,3,MODULE_3,0.7657142857142857,core
CHM,0,LARGE_MODULE_0,0.8967741935483872,core
CISD2,5,MODULE_5,0.9488,core
CLCC1,6,MODULE_6,0.9583333333333334,core
CLCN2,0,LARGE_MODULE_0,0.38580645161290306,unstable
CLCN3,2,MODULE_2,0.8458823529411765,core
CLEC3B,0,LARGE_MODULE_0,0.8967741935483872,core
CLN3,13,MODULE_13,0.9171428571428573,core
CLN5,13,MODULE_13,0.9171428571428573,core
CLN8,13,MODULE_13,0.9171428571428573,core
CLRN1,16,MODULE_16,0.031111111111111114,unstable
CNGA1,0,LARGE_MODULE_0,0.769677419354839,core
CNGA3,15,MODULE_15,0.924,core
CNGB3,15,MODULE_15,0.924,core
CNNM4,15,MODULE_15,0.924,core
COG4,2,MODULE_2,0.8458823529411765,core
COL11A1,2,MODULE_2,0.8458823529411765,core
COL18A1,8,MODULE_8,0.6139130434782608,peripheral
COL2A1,2,MODULE_2,0.8458823529411765,core
COL4A1,8,MODULE_8,0.6139130434782608,peripheral
COL4A4,3,MODULE_3,0.7657142857142857,core
COL4A5,3,MODULE_3,0.7657142857142857,core
COL9A1,2,MODULE_2,0.8458823529411765,core
COL9A2,2,MODULE_2,0.8458823529411765,core
COL9A3,2,MODULE_2,0.8458823529411765,core
COQ2,1,LARGE_MODULE_1,0.9527272727272728,core
COQ5,1,LARGE_MODULE_1,0.9527272727272728,core
COQ8B,3,MODULE_3,0.7657142857142857,core
CRB1,12,MODULE_12,0.8906666666666666,core
CRIPT,4,MODULE_4,0.37920000000000004,unstable
CRX,12,MODULE_12,0.8666666666666669,core
CSPP1,11,MODULE_11,0.998,core
CTC1,2,MODULE_2,0.7105882352941176,core
CTNNA1,0,LARGE_MODULE_0,0.8967741935483872,core
CTNNB1,3,MODULE_3,0.7657142857142857,core
CTNND1,4,MODULE_4,0.33919999999999995,unstable
CTNS,7,MODULE_7,0.011666666666666667,unstable
CTSD,13,MODULE_13,0.8314285714285716,core
CWC27,4,MODULE_4,0.45599999999999985,peripheral
CYFIP2,7,MODULE_7,0.33,unstable
CYP2R1,2,MODULE_2,0.8458823529411765,core
CYP2U1,1,LARGE_MODULE_1,0.9527272727272728,core
CYP4V2,6,MODULE_6,0.9583333333333334,core
DCT,5,MODULE_5,0.4912,peripheral
DDHD2,1,LARGE_MODULE_1,0.9527272727272728,core
DHDDS,7,MODULE_7,0.33,unstable
DHX16,1,LARGE_MODULE_1,0.9527272727272728,core
DHX38,0,LARGE_MODULE_0,0.8967741935483872,core
DIAPH1,5,MODULE_5,0.9488000000000001,core
DNAJC19,7,MODULE_7,0.63,peripheral
DNAJC30,3,MODULE_3,0.7657142857142857,core
DNM1L,10,MODULE_10,1.0,core
DPM1,2,MODULE_2,0.8458823529411765,core
DRAM2,14,MODULE_14,0.8333333333333334,core
DTNBP1,5,MODULE_5,0.9488000000000001,core
DYNC2H1,4,MODULE_4,0.4176,peripheral
DYNC2I2,4,MODULE_4,0.4176,peripheral
EDNRB,5,MODULE_5,0.9488000000000001,core
EFEMP1,0,LARGE_MODULE_0,0.04387096774193549,unstable
EIF2B4,3,MODULE_3,0.4657142857142858,peripheral
ELOVL1,1,LARGE_MODULE_1,0.9527272727272728,core
ELOVL4,0,LARGE_MODULE_0,0.04387096774193549,unstable
EMC1,4,MODULE_4,0.29280000000000006,unstable
EPG5,5,MODULE_5,0.9488000000000001,core
