module_id,category_group,value,N_module,N_category,overlap,fold_enrichment,p_value,novel_candidates,potential_misclassifications,FDR,significant
11,Category,Joubert syndrome,21,20,18,18.9429,5.4683210368792426e-27,RPGRIP1; TOPORS; ZNF423,MKS1; NPHP1,2.0834303150509914e-24,True
5,Annotation,Melanosome,26,27,21,13.2222,4.2034213989276385e-26,BLOC1S6; CISD2; DIAPH1; EPG5; STN1,ARL6; BBS4; BBS5; BBS7; CTNS; MKKS,8.007517764957151e-24,True
9,Category,BBS,24,21,18,15.7857,3.7701357182580995e-24,ALMS1; NEUROD1; NPHP1; PMM2; SCLT1; WFS1,CEP164; IFT172; MKS1,4.788072362187786e-22,True
5,Category,OCA / foveal hypoplasia,26,17,16,16.0,1.1459269501145908e-21,AP3D1; CISD2; DIAPH1; EDNRB; GPR143; HPS3; HPS4; LYST; MITF; STN1,FRMD7,1.0914954199841477e-19,True
12,Category,LCA,16,18,14,21.4861,3.56549092515127e-21,ATG7; TUBB4B,CEP290; GUCY2D; PCYT1A; RPGRIP1,2.7169040849652677e-19,True
6,Category,CSNB,25,12,12,17.68,5.2085563898230794e-17,CABP4; CACNA2D4; CERKL; CLCC1; CYP4V2; IDH3B; MCOLN1; PRCD; RDH5; RHO; RIMS2; RLBP1; RP1,,3.3074333075376555e-15,True
16,Category,Usher syndrome,10,11,9,36.1636,3.3505607714233986e-16,CEP78,ABHD12; CDH23,1.8236623627318785e-14,True
11,Annotation,Cilium,21,77,20,5.4669,1.2521018494799642e-15,TOPORS,ADGRV1; ALPK1; ARL6; BBIP1; BBS1; BBS10; BBS12; BBS2; BBS4; BBS5; BBS7; BBS9; BLOC1S6; CCDC88A; CDH23; CEP164; CEP78; CEP83; CFAP410; CLRN1; DTNBP1; DYNC2H1; DYNC2I2; IFT140; IFT172; IFT27; IFT74; IQCB1; KIAA1549; KIF3B; LCA5; LZTFL1; MAK; MKKS; MKS1; MYO7A; PCARE; PCDH15; POC1B; PTPN23; RAB28; RP1; RP1L1; RP2; RPGR; SCLT1; SDCCAG8; SNX10; TRAF3IP1; TTC8; TTLL5; TUB; USH1C; USH1G; USH2A; WDR19; WHRN,5.96313505814833e-14,True
0,Cat,Non-syndromic,63,127,46,2.5412,2.5168904991820144e-15,ALPK1; CLCN2; KIF3B; KLHL7; MFRP; MFSD8; OAT; PDSS1; PISD; RBP4; RTN4IP1; SLC6A6; TIMP3; TRNT1; TTLL5; TUB; TUBGCP4,ADAM9; AIPL1; ATF6; ATOH7; CABP4; CACNA1F; CACNA2D4; CAPN5; CDHR1; CEP83; CERKL; CLCC1; CNGA3; CNGB3; COQ5; COQ8B; CRB1; CRX; CTNND1; CYP4V2; DHDDS; DNM1L; DRAM2; FBLN5; FZD4; GNAT1; GNAT2; GNB3; GPR143; GPR179; GRK1; GRM6; IDH3B; IMPDH1; KCNJ13; LCA5; LRAT; LRIT3; LRP5; MCAT; MIR204; MT-CO1; MT-CO3; MT-CYB; MT-ND1; MT-ND2; MT-ND4; MT-ND4L; NR2E3; NYX; OPN1LW; OPN1MW; OPN1SW; P3H2; PAX6; PDE6B; PDE6C; PDE6H; POC1B; PRCD; RD3; RDH12; RDH5; RGS9; RGS9BP; RHO; RLBP1; RP1; RPE65; RPGRIP1; SAG; SLC24A1; SPATA7; THRB; TOPORS; TRPM1; TSPAN12; TULP1; UBAP1L; VCAN; ZNF408,1.0654836446537195e-13,True
15,Category,CVD,11,9,8,35.7172,4.3537242610159393e-14,CNNM4; PTPN23; RPGR,OPN1SW,1.658768943447073e-12,True
