gene,Arab_Muslim,Ashkenazi,Jewish_Other,Middle_Eastern_Jewish,North_African_Jewish
A2ML1,0,1,0,0,0
AADAC,0,0,0,1,0
AARS,0,0,0,0,1
AARS2,2,0,0,0,0
ABCA13,0,1,0,0,0
ABCA4,62,38,14,32,14
ABCB4,0,0,0,1,0
ABCC6,3,3,1,2,2
ABCC8,0,1,0,0,2
ABCC9,0,0,1,0,0
ABHD12,0,0,1,0,0
ABL2,0,1,0,0,0
ACACB,1,0,0,0,0
ACO2,0,1,0,0,0
ADAM9,0,0,1,0,1
ADAMTS18,1,0,0,0,0
ADGRE2,1,0,0,0,0
ADGRG4,1,0,0,0,0
ADGRV1,0,2,1,3,0
ADRA2B,0,0,0,0,1
AEBP1,1,0,0,0,0
AGA,0,0,0,1,0
AGAP3,0,1,0,0,0
AGBL5,3,0,0,0,0
AGO1,0,0,1,0,0
AHI1,0,0,1,0,1
AHNAK,2,0,0,0,0
AIPL1,8,1,0,0,1
AKAP9,0,0,0,1,0
ALDH18A1,0,0,0,0,1
ALDH3A2,1,0,0,0,0
ALDH3B1,0,0,1,0,0
ALG9,2,0,0,0,0
ALMS1,4,0,0,1,1
ALPK1,0,2,0,0,2
AMACR,2,0,0,0,0
ANO5,0,0,0,0,1
APC,1,1,0,0,0
APOB,0,0,1,0,2
APOC3,0,1,0,0,0
APOE,0,1,0,1,0
ARHGAP6,0,0,0,1,0
ARHGEF10,1,0,0,0,0
ARID1B,2,0,0,0,0
ARSB,1,0,0,0,0
ARSG,0,0,0,1,0
ASPM,1,0,0,0,0
ASXL1,1,0,0,0,0
ATAD3A,1,0,0,0,0
ATF6,0,0,0,1,0
ATM,0,0,1,0,0
ATN1,1,0,0,1,0
ATP11A,0,0,1,0,0
ATP1A1,0,0,0,0,1
ATP1A2,0,0,1,0,0
ATR,1,0,0,0,0
ATXN1,0,0,1,0,0
ATXN2,0,1,0,1,4
ATXN3,0,0,0,1,0
ATXN7,0,3,0,0,0
BAP1,0,0,0,1,0
BAZ2B,1,0,0,0,0
BBS1,3,0,0,0,1
BBS10,1,0,0,1,0
BBS2,1,4,0,2,1
BBS7,1,0,0,0,0
BCAT2,0,0,0,1,0
BCS1L,0,1,0,0,1
BEST1,9,6,0,5,1
BHLHE40,0,0,0,1,0
BMP4,0,1,0,0,0
BPTF,0,0,0,1,0
BRCA1,1,1,0,1,0
BRCA2,0,1,0,0,0
BTD,3,0,0,0,0
BUB1B,1,0,0,0,0
C12orf65,1,0,0,0,0
C19orf12,0,0,1,0,0
C2,0,0,1,0,0
C3,1,0,0,0,0
C6,0,0,1,0,0
C9,0,1,0,0,0
CA4,2,0,0,0,0
CA6,1,0,0,0,0
CABP4,1,1,0,1,0
CACNA1A,0,1,0,0,0
CACNA1D,1,0,0,1,0
CACNA1F,7,3,1,2,2
CACNA1G,1,0,0,0,0
CACNA2D4,1,5,1,0,0
CACNB2,1,0,0,0,0
CADPS2,1,0,0,0,0
CAPN1,1,0,0,0,0
CAPN3,1,0,1,0,0
CASR,1,0,0,0,0
CCDC40,1,0,0,0,0
CCDC78,2,0,0,0,1
CCDC88C,0,0,0,1,0
CCSER1,0,0,0,0,1
CCT4,0,1,0,0,0
CD96,0,1,0,0,0
CDHR1,6,1,0,2,1
CDON,2,0,0,2,0
CEL,1,3,2,3,0
CEP164,1,0,0,0,0
CEP250,0,0,1,0,0
CEP290,9,0,0,0,1
CEP41,0,0,0,0,2
CEP63,1,0,0,0,0
CEP78,1,0,1,1,0
CERKL,2,0,0,7,0
CETP,1,0,1,0,0
CFAP410,2,1,0,1,4
CFB,0,0,0,1,0
CFH,0,1,0,0,1
CFHR3,1,0,0,0,0
CFHR5,1,1,0,0,0
CFTR,1,8,1,3,3
CHD3,0,1,0,0,0
CHEK2,2,3,0,0,0
CHM,0,2,1,1,2
CHRNA4,0,1,0,0,0
CHRND,0,0,0,1,0
CHRNE,0,1,0,0,0
CLCN1,0,0,0,1,0
CLCN2,1,0,0,1,0
CLCNKB,1,0,0,0,0
CLN3,3,0,0,1,0
CLRN1,1,5,0,4,0
CNBP,0,0,0,0,1
CNGA1,0,4,1,1,3
CNGA3,13,6,3,1,3
CNGB1,8,0,1,4,0
CNGB3,4,5,3,3,1
CNNM4,1,0,0,0,0
CNOT2,0,1,0,0,0
CNTN6,0,0,0,1,0
COG4,0,1,1,0,0
COL11A1,2,1,0,1,0
COL12A1,1,0,0,0,1
COL17A1,1,0,0,0,0
COL18A1,4,2,0,0,0
COL1A2,0,0,0,0,1
COL24A1,1,0,0,0,0
COL2A1,1,1,1,0,2
COL3A1,0,0,0,2,0
COL4A2,1,0,0,0,0
COL4A3,0,0,1,2,2
COL4A3BP,1,0,0,0,0
COL4A4,1,1,0,1,0
COL5A3,0,0,0,1,0
COL6A1,0,0,0,0,1
COL6A2,1,1,0,0,0
COL7A1,1,0,1,0,1
COL9A1,1,0,1,0,0
COPA,1,0,0,0,0
CPA6,0,0,0,1,0
CPAMD8,1,0,0,0,0
CPSF1,0,0,0,1,1
CPT2,1,0,0,0,0
CPZ,2,0,0,0,1
CRB1,10,9,1,7,2
CREB3,0,0,0,0,2
CREB3L3,0,0,0,0,1
CRX,3,1,1,2,0
CRYAA,0,0,1,0,0
CRYBB1,1,0,0,0,0
CRYBB2,0,0,0,0,1
CTNNA1,0,0,0,0,1
CTNND2,0,0,1,0,0
CUBN,1,0,0,0,0
CYBA,1,0,0,0,0
CYFIP1,1,0,0,0,0
CYFIP2,1,0,0,0,0
CYP11B1,0,0,0,0,1
CYP21A2,0,0,0,0,1
CYP4V2,1,0,0,0,0
DAXX,2,0,0,0,0
DDX41,0,1,0,1,0
DDX58,1,0,0,0,0
DHCR7,1,0,1,0,0
DHDDS,0,4,1,0,0
DIAPH2,1,0,0,0,0
DLC1,1,0,0,0,0
DLG5,3,0,0,0,0
DMD,0,0,0,1,0
DMXL2,1,0,0,0,0
DNM1,1,0,0,0,0
DNMT3A,1,2,0,0,0
DPAGT1,0,0,0,0,1
DSC2,0,0,1,0,0
DSPP,1,1,1,0,2
DYNC2H1,1,0,0,0,0
DYRK1A,1,0,0,0,0
EFEMP1,0,1,0,0,0
EFHC1,0,1,0,0,0
EHMT1,0,0,1,0,0
EIF4G1,1,0,1,0,0
EP300,1,0,1,0,0
EP400,0,0,0,1,0
EPCAM,0,0,1,0,0
EPG5,1,0,0,0,0
EPHA2,0,1,0,0,0
EPOR,0,0,0,1,0
ETV4,0,0,0,1,0
EVC2,0,2,0,0,0
EYS,11,12,4,3,11
F12,0,1,0,0,0
F13A1,0,1,0,0,0
F2,0,1,0,1,0
F5,0,0,1,1,0
F8,2,0,0,0,0
FAAH2,0,0,0,2,0
FAM161A,0,5,2,4,15
FARS2,2,0,0,0,0
FAT1,0,0,1,0,0
FBLN1,0,0,0,1,0
FBN1,0,0,0,1,0
FBN2,0,0,0,0,2
FBXL4,1,0,0,0,0
FGFR3,1,0,0,0,0
FLG,1,2,3,1,0
FLVCR1,0,0,0,0,1
FMNL2,1,0,0,0,0
FOXC1,0,1,0,0,0
FREM1,1,0,1,0,0
FSIP2,2,0,0,0,0
FTX,0,0,0,1,0
FXR2,2,0,0,0,0
FZD4,1,0,0,0,1
G6PD,1,0,1,1,0
GABRB3,0,0,0,0,1
GANAB,1,0,0,0,0
GATA4,0,0,0,1,0
GATA5,0,1,0,0,0
GATM,1,0,0,0,0
GBA,0,4,0,0,0
GBE1,0,1,0,0,0
GCH1,0,1,0,0,0
GCNT2,0,0,0,1,0
GDF1,0,2,0,0,0
GFAP,1,0,0,0,0
GHR,0,0,1,0,0
GJA8,2,0,0,0,0
GJB2,2,5,0,1,1
GJC2,1,0,0,1,1
GLI3,2,0,0,0,0
GNA11,1,0,0,0,0
GNAQ,0,0,0,0,1
GNAT1,0,0,0,0,4
GNAT2,1,0,0,0,0
GNB1,0,1,0,0,0
GNB3,0,0,0,1,1
GNE,1,0,0,1,0
GNPTG,1,0,0,0,0
GPR179,0,0,2,0,0
GREB1L,0,0,0,1,0
GRIA1,0,1,0,0,0
GRM6,1,0,0,0,0
GUCA1A,1,0,0,1,0
GUCA1B,1,0,0,0,0
GUCY2D,7,5,3,4,6
HADHB,1,0,0,0,2
HARS,1,0,0,0,0
HBA1,0,0,0,0,1
HBA2,1,0,0,0,0
HBB,0,1,0,0,0
HDAC6,3,0,0,0,0
HESX1,0,1,0,0,0
HGD,0,0,1,0,0
HGSNAT,1,4,0,0,0
HK1,0,1,0,0,0
HKDC1,1,1,0,0,0
HLA-DQA1,1,0,0,0,0
HLA-DQB1,1,1,0,0,0
HLA-DRB1,0,1,0,0,0
HMBS,2,0,0,0,0
HMCN1,1,0,0,3,3
HMMR,0,0,0,0,1
HNF1A,1,0,0,0,0
HNRNPK,1,0,0,0,0
HOXD10,0,0,0,1,0
HRG,0,0,0,1,0
HS6ST1,0,1,0,0,0
HSF4,1,0,0,0,0
HTT,5,0,1,0,1
IDH3A,0,1,1,0,1
IDH3B,1,0,0,0,0
IFIH1,1,0,0,0,0
IFT122,0,0,1,0,0
IFT140,3,2,0,2,1
IFT81,0,1,0,0,0
IFT88,0,0,0,1,0
IGF2R,0,1,0,0,0
ILKAP,1,0,0,0,0
IMPDH1,0,2,0,6,1
IMPG1,5,0,0,1,1
IMPG2,1,1,0,1,0
INF2,1,0,0,0,0
INPP5E,2,0,0,0,0
IQCB1,0,3,0,0,0
IQGAP3,1,0,0,1,0
IRF2BPL,0,0,0,2,0
ITM2B,0,2,0,1,0
JAG1,1,1,0,0,0
JPH3,1,0,0,0,0
KANSL1,1,0,1,0,0
KCNAB2,0,0,0,0,1
KCNH2,1,0,0,1,1
KCNJ13,1,0,0,0,0
KCNK18,1,0,0,0,0
KCNK7,0,1,0,0,0
KCNMA1,1,0,0,0,0
KCNN2,1,0,0,0,0
KCNQ5,2,0,0,0,0
KCNT1,1,0,0,0,0
KCNV2,2,0,0,0,1
KDM4B,1,0,0,0,0
KDM5B,0,0,0,1,0
KDM6A,0,1,0,0,0
KDM6B,1,0,0,0,0
KHDC4,1,0,0,0,0
KIAA0556,1,0,0,0,0
KIAA0586,0,1,0,0,0
KIAA1549,1,0,0,0,0
KIF11,0,0,1,1,1
KIF3B,1,0,0,2,0
KIF5A,0,0,0,1,0
KIZ,1,9,0,1,3
KLHL3,1,0,0,0,0
KLHL7,0,0,0,0,1
KLLN,0,0,1,0,0
KMT2A,1,0,1,0,0
KMT2B,0,0,1,0,0
KMT2C,2,0,1,0,0
KMT2D,2,0,0,0,0
KRT14,1,0,0,0,0
LAMA1,3,0,0,0,0
LAMA2,1,0,0,0,0
LCA5,0,0,1,0,0
LDLR,0,1,0,0,0
LETM1,1,0,0,0,0
LMNA,0,0,0,1,1
LMNB1,0,1,0,0,0
LMOD1,1,0,0,0,0
LOXHD1,0,1,0,0,1
LPA,2,0,0,0,0
LPL,3,0,0,0,1
LRAT,0,0,0,1,0
LRIT3,0,0,1,0,0
LRMDA,0,0,0,1,0
LRP1,1,0,0,0,0
LRP2,1,0,0,2,2
LRP4,1,0,0,0,0
LRP5,2,1,2,1,2
LRPAP1,1,0,0,0,0
LRRK2,0,1,0,0,0
LTBP2,1,0,0,0,0
LYST,1,0,0,0,0
LZTR1,2,0,0,0,0
MAB21L1,0,1,0,0,0
MACF1,0,0,1,0,0
MAGEL2,0,1,0,0,0
MAK,3,0,0,0,0
MAP3K6,1,0,0,0,0
MAPT,0,0,0,0,1
MAST3,2,0,0,0,0
MAT1A,1,0,0,0,0
MC4R,0,0,0,0,1
MCM9,0,0,1,0,0
MCOLN1,0,0,0,1,0
MECP2,0,1,0,0,0
MED12,1,0,0,1,0
MEFV,5,1,1,2,2
MERTK,1,0,1,0,1
MFRP,1,1,0,1,0
MGAM,0,0,0,0,1
MIB1,0,0,0,1,0
MKKS,1,0,0,0,0
MMACHC,1,0,0,0,0
MN1,1,0,0,1,0
MORC2,1,0,0,0,0
MORC3,1,0,0,0,0
MPL,1,0,0,0,0
MPO,0,1,1,0,0
MRNIP,1,0,0,0,0
MSH6,0,0,1,0,0
MT-ATP6,1,0,0,0,0
MT-TL1,0,1,0,0,0
MTHFR,1,0,0,0,0
MUC12,0,0,1,0,0
MUC4,2,1,0,1,0
MUC5B,0,0,0,0,1
MUTYH,2,0,0,1,2
MVK,1,0,0,1,4
MYH2,1,0,0,0,0
MYH7,0,0,0,1,0
MYH8,0,0,0,0,1
MYL2,0,1,0,0,0
MYLK,2,0,0,0,0
MYO1C,0,0,1,0,0
MYO3A,0,0,0,1,1
MYO5C,0,0,1,0,0
MYO6,0,0,0,1,0
MYO7A,7,1,1,2,2
MYO9B,1,0,0,0,0
MYOM1,0,0,0,0,1
MYORG,0,0,0,0,2
MYSM1,0,0,0,1,0
NAGLU,0,0,1,0,0
NAV3,0,0,0,0,1
NAXE,1,0,0,0,0
NCOA3,0,0,0,1,0
NCOR1,0,1,0,0,0
NEDD4L,1,0,0,0,0
NEFH,1,0,0,0,0
NEK1,2,0,0,0,0
NEK2,0,0,0,1,1
NEURL4,2,0,0,0,0
NF1,2,0,0,0,0
NHEJ1,0,0,0,1,0
NID2,0,0,0,1,0
NIN,2,0,0,0,0
NIPBL,2,0,0,0,0
NISCH,2,0,0,0,0
NLGN4Y,1,0,0,0,0
NLRP12,1,0,0,0,0
NMNAT1,0,0,0,3,0
NOD2,0,0,0,1,0
NOTCH3,0,2,0,2,0
NOTCH4,0,0,0,0,1
NPHP3,0,0,0,1,0
NPHP4,1,0,0,0,0
NPHS2,1,0,0,0,0
NR2E3,6,11,3,1,5
NR2F1,2,0,0,0,0
NRL,0,2,0,1,1
NRP2,2,0,0,0,0
NRXN2,1,0,0,0,0
NSUN2,1,0,0,0,0
NUBPL,1,0,0,0,0
NUTM2E,1,0,0,0,0
NXNL1,2,0,0,0,0
OAT,0,1,0,1,0
OBSCN,0,0,1,0,0
OFD1,1,0,0,1,0
OPA3,0,0,0,1,0
OPLAH,0,0,1,0,0
OPN1LW,0,0,0,1,0
OPN1MW,0,1,0,1,0
OPN1SW,3,0,0,2,1
OPTN,1,0,0,0,0
OTC,0,0,0,0,1
OTUD5,1,0,0,0,0
OTX2,1,0,0,0,0
P2RX5,1,0,0,0,0
P3H2,1,0,0,0,0
