gene,Arab_Muslim,Ashkenazi,Jewish_Other,Middle_Eastern_Jewish,North_African_Jewish
ABCA4,0,2,2,1,2
ABCC6,0,1,0,1,1
ACO2,0,1,0,0,0
ADAM9,0,0,1,0,0
AGAP3,0,1,0,0,0
ALDH3B1,0,0,1,0,0
ALMS1,1,0,0,0,0
ALPK1,0,0,0,0,2
ATF6,0,0,0,1,0
ATP11A,0,0,1,0,0
ATP1A2,0,0,1,0,0
ATXN2,0,0,0,0,3
ATXN7,0,1,0,0,0
BHLHE40,0,0,0,1,0
BPTF,0,0,0,1,0
BRCA1,0,1,0,0,0
BTD,1,0,0,0,0
C3,1,0,0,0,0
CA4,1,0,0,0,0
CAPN3,0,0,1,0,0
CCT4,0,1,0,0,0
CDON,0,0,0,1,0
CEP250,0,0,1,0,0
CEP290,1,0,0,0,0
CEP41,0,0,0,0,2
CFTR,0,0,1,1,0
CHD3,0,1,0,0,0
CHRNA4,0,1,0,0,0
CNGA1,0,0,1,0,1
CNGB3,0,0,1,1,0
CNOT2,0,1,0,0,0
CNTN6,0,0,0,1,0
COL11A1,2,1,0,1,0
COL18A1,2,1,0,0,0
COL2A1,1,0,0,0,0
COL4A2,1,0,0,0,0
COL4A3,0,0,1,0,2
COL4A4,0,0,0,1,0
COL5A3,0,0,0,1,0
CRB1,0,0,0,1,0
CRX,1,0,0,0,0
CTNNA1,0,0,0,0,1
CYP21A2,0,0,0,0,1
DDX41,0,1,0,0,0
DDX58,1,0,0,0,0
DSC2,0,0,1,0,0
EP300,0,0,1,0,0
EYS,2,0,0,0,1
F2,0,1,0,1,0
F8,1,0,0,0,0
FAM161A,0,0,0,0,4
FBLN1,0,0,0,1,0
FBN1,0,0,0,1,0
FLVCR1,0,0,0,0,1
FSIP2,1,0,0,0,0
FTX,0,0,0,1,0
G6PD,0,0,1,1,0
GATA5,0,1,0,0,0
GBA,0,1,0,0,0
GDF1,0,1,0,0,0
GJB2,0,0,0,1,0
GJC2,0,0,0,1,0
GNAT2,1,0,0,0,0
GREB1L,0,0,0,1,0
GUCA1B,1,0,0,0,0
HGSNAT,0,1,0,0,0
HKDC1,0,1,0,0,0
HLA-DRB1,0,1,0,0,0
HMCN1,0,0,0,0,1
HRG,0,0,0,1,0
IFIH1,1,0,0,0,0
IFT140,0,1,0,0,0
IMPG2,0,1,0,0,0
IRF2BPL,0,0,0,1,0
KIF11,0,0,1,0,0
KIF3B,0,0,0,1,0
KMT2B,0,0,1,0,0
LMNA,0,0,0,1,1
LMNB1,0,1,0,0,0
LPA,1,0,0,0,0
LRP2,0,0,0,1,2
LRP5,0,0,0,1,0
LYST,1,0,0,0,0
LZTR1,1,0,0,0,0
MACF1,0,0,1,0,0
MCOLN1,0,0,0,1,0
MEFV,0,1,1,0,0
MIB1,0,0,0,1,0
MPO,0,0,1,0,0
MUTYH,1,0,0,1,1
MVK,1,0,0,1,0
MYO1C,0,0,1,0,0
MYO3A,0,0,0,0,1
MYO6,0,0,0,1,0
MYORG,0,0,0,0,2
NCOR1,0,1,0,0,0
NF1,1,0,0,0,0
NHEJ1,0,0,0,1,0
NID2,0,0,0,1,0
NOTCH3,0,1,0,2,0
NOTCH4,0,0,0,0,1
NR2E3,0,0,1,1,2
OPLAH,0,0,1,0,0
OPN1LW,0,0,0,1,0
OPN1MW,0,0,0,1,0
OTX2,1,0,0,0,0
PALM,0,0,0,1,0
PAX6,0,0,0,2,0
PCARE,0,0,0,2,0
PCSK9,0,0,0,1,0
PDE11A,1,0,0,0,0
PDE1C,0,0,1,0,0
PDE6H,1,0,0,0,0
PIKFYVE,1,0,0,0,0
PKLR,0,0,1,0,1
PNPT1,0,0,1,0,0
POGLUT1,0,0,0,1,0
POLG,1,0,0,0,0
POLR1A,0,0,1,0,0
POMT2,0,0,0,1,0
PORCN,0,0,0,1,0
PPP1R9B,0,0,0,1,0
PQLC2,1,0,0,0,0
PROM1,2,0,0,0,0
PRPH2,0,0,0,1,0
PSEN1,0,1,0,0,0
RBP3,0,0,0,1,0
RBP4,0,0,0,1,0
REV3L,0,0,1,0,0
RFX7,0,0,0,0,1
RHO,0,1,0,0,0
RLBP1,1,0,0,0,0
ROBO4,0,0,0,1,0
RP1,2,0,0,1,0
RP1L1,0,0,1,1,0
RPGR,0,1,1,0,0
RPGRIP1,0,0,0,1,0
SACS,0,1,0,0,0
SCARF2,0,0,1,0,0
SCLT1,0,0,0,0,1
SCO2,0,0,0,0,1
SERPINA6,0,0,0,1,0
SFT2D3,0,0,0,1,0
SHROOM2,0,0,0,1,0
SIN3B,0,0,0,0,1
SLC38A8,0,0,0,1,0
SLC6A5,0,1,0,0,0
SLC9A9,0,1,0,0,0
SMAD3,1,0,0,0,0
SMCHD1,0,0,1,0,0
SNRNP200,0,1,0,0,0
TBX6,0,1,0,0,0
THRB,0,0,0,1,0
TJP1,0,0,0,1,0
TJP2,0,0,1,0,0
TKTL2,1,0,0,0,0
TOPORS,0,0,0,0,1
TRAF7,0,0,1,0,0
TRIM63,0,0,1,0,0
TRPM1,0,0,0,1,0
TSPAN12,1,0,0,0,0
TTC21B,0,0,0,1,0
TYR,0,1,1,0,1
UNC119,0,0,1,0,0
UNC45B,0,0,0,0,1
UNKL,1,0,0,0,0
USH2A,0,0,0,1,1
VWA8,4,0,0,1,2
WFS1,0,0,0,0,1
WNT10A,0,0,0,2,0
ZNF423,0,0,0,1,0
